,x,y,color,cluster
0,0.7152573813989413,0.3446777862844283,0.75,1
1,0.17209890375860698,0.2826731473495444,0.0,0
2,0.7271374319067195,0.41798671813168153,0.75,1
3,0.32869609109180253,0.45065601034377917,0.5,0
4,0.5143273965597382,0.28074191920139163,0.25,0
5,0.11317836095066729,0.5682545317410546,0.0,0
6,0.48932327257586533,0.7578128826437871,0.25,0
7,0.5054127091703655,0.39732212005737966,0.25,0
8,0.10398715369660787,0.6296679781576903,0.0,0
9,0.3421688871702158,0.6779165841474065,0.5,0
10,0.8593271594277322,0.5132454710904009,1.0,1
11,0.3294790895407642,0.8085531728031253,0.5,0
12,0.30556493149309044,0.28793933945525124,0.5,0
13,0.5304768812727279,0.23045595765553287,0.25,0
14,0.07724982048989223,0.4733558756208177,0.0,0
15,0.11802950147339246,0.7858852642994907,0.0,0
16,0.8874287448966904,0.7003691184335243,1.0,1
17,0.9273358947688702,0.1483576260395285,1.0,1
18,0.10343693779894243,0.5199020392453187,0.0,0
19,0.9138876754568586,0.2766913441316974,1.0,1
20,0.31447508385637357,0.2674292227909892,0.5,0
21,0.5251661463219301,0.8522186889560813,0.25,0
22,0.6936085004677759,0.4279365165567125,0.75,1
23,0.1263260196410576,0.7956180114691167,0.0,0
24,0.09291840930418209,0.7051810130628278,0.0,0
25,0.7581104149792189,0.8104290774774274,0.75,1
26,0.7289087577476937,0.562472461466008,0.75,1
27,0.12799074277307582,0.83976769471295,0.0,0
28,0.9248414638702244,0.215713930536898,1.0,1
29,0.34559066585429654,0.8551036989049228,0.5,0
30,0.33704791024394165,0.5246978840277263,0.5,0
31,0.523465060469048,0.6113231885390933,0.25,0
32,0.9033750493559712,0.44410515957978364,1.0,1
33,0.14081373973837819,0.40224349601635917,0.0,0
34,0.5236559203024213,0.6553316579174332,0.25,0
35,0.11203292775490294,0.7095187751973168,0.0,0
36,0.1224851761667209,0.8245303597857595,0.0,0
37,0.6989235641904489,0.19421598677085516,0.75,1
38,0.10377124130818811,0.3591234783364381,0.0,0
39,0.13360315481199125,0.8047495107070632,0.0,0
40,0.10448340877511271,0.4346732439420337,0.0,0
41,0.6997989537118519,0.4322738014143815,0.75,1
42,0.7391753929145399,0.8445582335132444,0.75,1
43,0.08249706748613579,0.3931083708063024,0.0,0
44,0.08706606754103856,0.37924055596396883,0.0,0
45,0.30800212339882926,0.5239590651470472,0.5,0
46,0.7051093528016356,0.723414636718354,0.75,1
47,0.7618882013862711,0.2870739138137809,0.75,1
48,0.07399977511842383,0.5943990879191653,0.0,0
49,0.10739867873987093,0.23018243586131035,0.0,0
50,0.1942123319377964,0.2598940770034449,0.0,0
51,0.8990617305757508,0.5290583335237904,1.0,1
52,0.6819180599830329,0.24417209624706235,0.75,1
53,0.7238232309294869,0.42695514037084875,0.75,1
54,0.33919474703941044,0.23905477699763508,0.5,0
55,0.13242638938649343,0.7396880694452466,0.0,0
56,0.6666252070815704,0.5884123757701916,0.75,1
57,0.07892090918955207,0.4703890998756788,0.0,0
58,0.1276656337232805,0.6858795068873973,0.0,0
59,0.27857842136515354,0.14532809136259775,0.5,0
60,0.727238217380188,0.5526524354041452,0.75,1
61,0.524161929714958,0.2389141271715752,0.25,0
62,0.7328920758383598,0.5288109376957503,0.75,1
63,0.7041044694237041,0.370334858154304,0.75,1
64,0.7662111159107743,0.25047611562288646,0.75,1
65,0.5113905123922384,0.4519738091516861,0.25,0
66,0.9568882563582713,0.8090249331940477,1.0,1
67,0.11795955317030453,0.22637905426705554,0.0,0
68,0.7000418089080978,0.42506080877236374,0.75,1
69,0.3124486295390162,0.44969943216264946,0.5,0
70,0.1368435512069014,0.2572559797623564,0.0,0
71,0.10022700764633276,0.32204666053290665,0.0,0
72,0.2989732816294968,0.31303202310413647,0.5,0
73,0.11329146029499988,0.7936441041539385,0.0,0
74,0.6900793272246358,0.777642365975354,0.75,1
75,0.5268818337097576,0.8421174287720118,0.25,0
76,0.906376708731367,0.5969370738039759,1.0,1
77,0.7060406291680111,0.030496314879674212,0.75,1
78,0.9249437170232445,0.6679513073233394,1.0,1
79,0.9637433092028808,0.8436215855156193,1.0,1
80,0.04335548597220873,0.39878750806299035,0.0,0
81,0.35472522616744523,0.7469728660281787,0.5,0
82,0.7098984177917711,0.9547692427713387,0.75,1
83,0.5039767552019617,0.5906113315896266,0.25,0
84,0.726908660761175,0.7335723433731647,0.75,1
85,0.5343066330722115,0.24048629395347423,0.25,0
86,0.7167215606195585,0.7528319722902693,0.75,1
87,0.021283148450615325,0.06568437051006754,0.0,0
88,0.3329327421265855,0.23454760692309404,0.5,0
89,0.938357920172966,0.8749510224725255,1.0,1
90,0.7322584306414208,0.7979313221711843,0.75,1
91,0.5773019387989166,0.46298005789774277,0.25,0
92,0.5068565651903352,0.3449884173448736,0.25,0
93,0.673464534907214,0.6727918988537536,0.75,1
94,0.4598575626133871,0.16565823944408078,0.25,0
95,0.11188850276888183,0.8134168959149551,0.0,0
96,0.7066488498667063,0.4334493237909505,0.75,1
97,0.04918169400090644,0.3385001319232361,0.0,0
98,0.5234154096640685,0.7640847691412185,0.25,0
99,0.721471783663051,0.21112833378235993,0.75,1
100,0.5329393723419927,0.7579011343145725,0.25,0
101,0.11071560258450859,0.20890292241696568,0.0,0
102,0.48008265230389796,0.26672675281864083,0.25,0
103,0.3457062171779802,0.3331810301104233,0.5,0
104,0.6912838702724557,0.6429166299979447,0.75,1
105,0.8950722717322499,0.43633188981687715,1.0,1
106,0.3059636437775539,0.32462161740534606,0.5,0
107,0.1034136891279946,0.4829476011433911,0.0,0
108,0.15544094575609702,0.2884433788841108,0.0,0
109,0.9170185847052011,0.48480196391748376,1.0,1
110,0.5070581367690142,0.7357257248951979,0.25,0
111,0.3160194158641375,0.30793178927690645,0.5,0
112,0.6885009494764471,0.5753823261578778,0.75,1
113,0.11460026236600178,0.5549147204555158,0.0,0
114,0.13586834547143578,0.8204606888036615,0.0,0
115,0.5254289600522274,0.7238869663018851,0.25,0
116,0.5288829225467231,0.8148483304770162,0.25,0
117,0.278815821611085,0.814262690930828,0.5,0
118,0.34352770584089926,0.5027034115414396,0.5,0
119,0.08502355228984847,0.36636235680595974,0.0,0
